"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-ie_8_xp","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 DHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_121_ios_122","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","No connection","",""
"clientsimulation-java_8u161","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java1703","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_283","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_303","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","100","",""
"protocol_support_score_weighted","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","30","",""
"key_exchange_score","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","90","",""
"key_exchange_score_weighted","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","27","",""
"cipher_strength_score","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","60","",""
"cipher_strength_score_weighted","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","24","",""
"final_score","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","INFO","81","",""
"overall_grade","deveco-dev.dev.incubateur.anct.gouv.fr/51.158.58.45","443","OK","A+","",""
